group,path,category,size,orig_size,sha256,completed_at,signature,manual
0006,sound/_quest_node_dem_sungrovemanor_marchell_marseille_closedialog_00000.wem,Quest Node,19814,19814,cfa469cbe2dfd663a16a49532f1c388dc72d621dc6ef692121802749cbd90627,2026-05-23T20:48:42+00:00,8d45ee2fee46911f2929df8e8beb6c960458830ceaff1bc3500ee944f9c47174,True
0006,sound/ndm_adult_1_aidialogstringinfo_friendly_hello_42581.wem,AI Friendly,14687,14687,787cb2b30e3ac31defbd0bdef78852b6d8160feede589a19b90288472591ca17,2026-05-21T21:03:16+00:00,67d34c9d4f59e2953e853ce9a632fe610da829e04286d80d4712fddad7833cb3,True
0006,sound/ndm_adult_1_aidialogstringinfo_friendly_hello_42609.wem,AI Friendly,24078,24078,a939991af7f78cba13e596382c92e4ac24f5b18d0ce706a72b828bddb51aa2ce,2026-05-21T21:03:19+00:00,31a78615327a6bec582250f1243ccca849193e38c96c933b9d46e1044f798e1b,True
0006,sound/ndm_adult_1_aidialogstringinfo_friendly_hello_42706.wem,AI Friendly,34812,34812,3b9ba38abd53614c767c98c61c8a53b191d346532c83e18c726898c3c32fe93d,2026-05-21T21:03:23+00:00,3c9e6816911ae6de6b93798f951a35c0c401b463f3d6f4dcc7152cec8b3ef113,True
0006,sound/ndm_adult_1_aidialogstringinfo_give_42257.wem,AI Trading,9694,9694,6efa8d6ca6959ba082e16e8f932615b41f73dd67336abd17da40727c752c3c66,2026-05-21T21:03:27+00:00,f8eb808bb2c60979bacd54d4f0a742d386ca0af3d4dbd872b16cdb6aa3253ce9,True
0006,sound/ndm_adult_1_aidialogstringinfo_give_42287.wem,AI Trading,15106,15106,b829fcad180a29329b158d71aed4a41cf89a28b3b3c8b1c1ed9646e6cde6405a,2026-05-21T21:03:30+00:00,650fb0826e31b9686621c3e9cbaa559ad707d5bae13388eac34d7a0a5d36a03c,True
0006,sound/ndm_adult_1_aidialogstringinfo_give_42377.wem,AI Trading,32453,32453,1f61fe31c194a8b11f9d1f4ced5f083ada45bd1e0214dcc6f3e5cab2d5b68efd,2026-05-21T21:03:34+00:00,d6ad415a9769898510ae4149b2f6cebffdbe1fa76023812a0f3385fe9ee71bac,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_battleing_02065.wem,AI Ambient (Group),19700,19700,3e470c5398bb0dda66b69e82205852dde5ea3719009fcd59b0a5a3c26e162dfb,2026-05-21T21:03:37+00:00,d5272d83eb08cec319502fd33117fa8fc306fac4b02944e44363b7f8cd7b226d,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_battleing_02066.wem,AI Ambient (Group),13896,13896,37f82332076e93c3bd52c830f1c97cc420b1469bbbe8e945ada225a08fe7e5c0,2026-05-21T21:03:40+00:00,9271506cf42b1e062c28fc447dadf17217afaa377ef7894a158e39d71611873c,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_battleing_02067.wem,AI Ambient (Group),20920,20920,8b7bbce5372d2e0ee297037eedf2ff8d903a6e3503848675dc9cd5543f0f2fb2,2026-05-21T21:03:43+00:00,6c9bcc52c8968ea33389df2352a88ac0c7686c036faea80acad49035ce9fe695,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_battleing_02068.wem,AI Ambient (Group),16690,16690,9745e1a05da2fa8bc93d8b1521cf5f891edaa674ac488861cb902c95abe1526d,2026-05-21T21:03:46+00:00,64f53d83a1fad00636676a647114715b8adcefbe5e24df6a319b0cc7d43dd01b,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_battleing_02069.wem,AI Ambient (Group),21845,21845,fc385d10cb9ca60670404f4d8eb35cd1ec97862f36b5cb905696ade9aacd0587,2026-05-21T21:03:49+00:00,66b8593af05263d2faa9c9b98ce3a0d2aaf38d94b78986fe3d3299dd5a206d99,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_battleing_02070.wem,AI Ambient (Group),20610,20610,cc3efd34a89f6980ce1a8422a618724e44939d46691153ebc36dff038e6c67d8,2026-05-21T21:03:52+00:00,6b87d135cf8a3d5b1d0aaa32a1febb8097d8810deaba994f16f67da228ffb9cc,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_battleing_02071.wem,AI Ambient (Group),14361,14361,55aab94b8fde6afc2408a2d161efd6782197dc0df19183c5f640d1f9d6e04775,2026-05-21T21:03:55+00:00,b66534fdd4fa1761a86a1f85d1595cbe74f58cc5a2cb4db00382c1060f501822,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_battleing_03454.wem,AI Ambient (Group),26031,26031,e9497ac957c715a3501d9acec4e64924df6d7edf7098c8db7993c738e4c53077,2026-05-21T21:03:58+00:00,6e399814bf0abe98fde913914a8bf187ab1791cc66d55d3f47491f58a55bd308,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_battleing_03455.wem,AI Ambient (Group),21174,21174,5aeeb9674093ac87b0399d6504222754cd1df93615133deadf134d947fc1c4a5,2026-05-21T21:04:02+00:00,8f645fd542be4bba2c292fa2f7790b872a4a78f8e6efe04403569391f90c4f82,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_battleing_03456.wem,AI Ambient (Group),18346,18346,8cb3a820b76ec6ac2a80262c5f015f3be30f00c917cc68e40d186de6e4c04c7f,2026-05-21T21:04:04+00:00,bdfc94756d60ec912e22a6acc5703d210b7b8323dfa9c6b67d763fca5b879d14,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_battleing_03457.wem,AI Ambient (Group),19701,19701,d6484cdacca5289cd4ae34df2045b0e74d3e0ad92e14d5497cf441ee42030f35,2026-05-21T21:04:05+00:00,94ebe12d30720efa3bfa3adbace2f3966baa9286455174bf5050705a9991fe72,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_battleing_03458.wem,AI Ambient (Group),35736,35736,2dd9eab5b579a54428752c93d01c6d4b38036e401cd38c31a8d88f0efe26666c,2026-05-21T21:04:08+00:00,c70ccebae812981cc4972dcae00906e24f5ee85735819fb2097eb29f486084ea,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_battleing_03459.wem,AI Ambient (Group),28715,28715,3634959cc3ba38cbe2787e79a2ead19d78b9c25947a46527bb7630e17ec366f5,2026-05-21T21:04:10+00:00,789d9b35185b1dc84e0db0405ac6dfaf372022461fb62f8e620fa91470965c0e,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_battleing_03460.wem,AI Ambient (Group),28978,28978,3c3221954be60b3fafb87b393752dae29d054ebc155f5ec5f83a786a773a1fbb,2026-05-21T21:04:12+00:00,4c644806afa5eb0218354c0bd630b13e4658ae8ad78312f37ed912f94193e8c2,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_battleing_05093.wem,AI Ambient (Group),18398,18398,be5a916cc6830108febc81703f2d80b89b367acc1e8151132d7de1834cafed97,2026-05-21T21:04:14+00:00,b45a39a89102e7dc574ac58ced13bd12d4a6da01c0b2974c5bf7afc2494c3970,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_battleing_05094.wem,AI Ambient (Group),31470,31470,635c9d70d5ad4611c646e24709df258b485a5238f0838e115d8bb3a203c52610,2026-05-21T21:04:16+00:00,5c3da8173ad8590ebd8c0b280d63ed6d03cc8aec42cfc70ac1ef93ea938ac989,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_battleing_05095.wem,AI Ambient (Group),23581,23581,c23f19dbf5d57ebbc758ec97a710270069b235d09db6d5b67eb37ae0b15cb81b,2026-05-21T21:04:18+00:00,0baf451eb31bbf0573059285486877c9c67561d0fea9150d519f63bd6e24b8ea,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_battleing_05096.wem,AI Ambient (Group),30733,30733,5f181fd226a4be72bb87ebb62aaf724bc0db0bf0cfa175ec81afd2f3b7927979,2026-05-21T21:04:20+00:00,a919594d5317b205f7780b801c083cf05620b6161e1addbf0813280995de86f7,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_battleing_05097.wem,AI Ambient (Group),22299,22299,06778ee74d0a3abbd69b81b7cafeed367c984c092126bc38765c5c0ed5a8637e,2026-05-21T21:04:22+00:00,17a0fbc0e140f78a624b3c8bb6b1ef1b92ef0a8300bc0636b721be53b6458538,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_battleing_05098.wem,AI Ambient (Group),18904,18904,b1abcafa13c7fd9436caef378307f4b0fbb6e1838e832a3c0d903684353cdb81,2026-05-21T21:04:24+00:00,a1db396b0e7848c4ac44b2a2872be4cf3022f393b5ec25bbc400d5da4a2a8de4,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_battleing_05099.wem,AI Ambient (Group),23302,23302,40da5d1681f350b221077202b7cf2d2a9f9a4793325c4b64ca6bcfaf20753fae,2026-05-21T21:04:26+00:00,c7367bafedefb210d23d733f59beac89565b04ba326da0436ea90e23e12bf53c,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_bindback_02020.wem,AI Callback,22964,22964,81e9c8d3d4634fcd1cbbb7a1c33a1c781e7e0e8c3360f9235b06d2046aaf6fba,2026-05-21T21:04:28+00:00,a33321a6768af30eeca50da3249ade144210f345df6744cd317a383bfd2e6286,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_bindback_02021.wem,AI Callback,18659,18659,94bfdb44dfdb12dba10b780b2dc10047cf6b17be8e287bdacd2acd8d51e714d0,2026-05-21T21:04:31+00:00,1afb5bd3814f75656e261a22cd4057aabe79d1c29d24ffcf4a36015af6489e47,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_bindback_02022.wem,AI Callback,19039,19039,d597e4deea5456cc9f109723023a754a3182fabd9599caa7372af34e3ce83d31,2026-05-21T21:04:33+00:00,8db4f6c918977b2eefe9a5dcf5ef74fdaedda195ee94f501274deda6ac29dd7d,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_bindback_03424.wem,AI Callback,31935,31935,4c6dd856703250fec3310bf385acdfb04385316079cac010eb4eee7704d22098,2026-05-21T21:04:35+00:00,1580b48e5e4c72ac32a9bc7142d330d8316c38a11d7e990e77b72f5283b94804,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_bindback_03425.wem,AI Callback,19656,19656,5259024e82096f2ad9066170af285766cd5f97efb321cb270c4500496be782c9,2026-05-21T21:04:37+00:00,74879900f9ece0b96212c7bb0d07993d4876d1cef2f16f42154769b857aa4b95,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_bindback_03426.wem,AI Callback,27791,27791,a774bbef09f4bc6accb7d5aef03ab5e464f03bf8999377bc70da24d4c3cba01e,2026-05-21T21:04:39+00:00,e4792d19d25cb03b5856087c959fb7cb9758af5a692612691feee38be5e5b7d7,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_bindback_05071.wem,AI Callback,11974,11974,5c2566c1b9934ef0b0cc8e0e171ccd27fed705423f889df9e12c8e5faa621558,2026-05-21T21:04:41+00:00,91f3534c99fcc499fa283eb11f1221fc1d3f4c958cc9db7cc72a9c9d6e814141,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_bindback_05072.wem,AI Callback,16777,16777,28c25240a98178f45a8b616db6748c1abe0f3b24bc7b35d93b93c2bf4a8dbcf1,2026-05-21T21:04:43+00:00,8092abf7c6acc9a0ffe2768f5a8bcbae93a77d4a315ed70e8bf4ece94cf95275,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_bindback_05073.wem,AI Callback,35186,35186,f41325cba137677d68c7feffeb246730626d8202e6f967b11aee1f7d96af79fe,2026-05-21T21:04:45+00:00,1ea4bea871a76de0bf9244c5d1d98d6cc05270ca669672e8178326d51271775d,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_bindback_08046.wem,AI Callback,13577,13577,732a768cdfd3307b6b13f56afdc18bfed228f84ac1b67cb3971c6e6af4af52be,2026-05-21T21:04:47+00:00,b745323509c101a7a60abf7b706eca384df081a9fa73ed870ad856e43d6c1c8b,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_bindback_08047.wem,AI Callback,16463,16463,dd1172941e955b681a25e58c1e2f4915687be6c63e2ffeaee5a4dbe0f1df43bb,2026-05-21T21:04:49+00:00,dad031891dfdaa3782c28ff293717138c45ae6f4018d11f2db7da2268f3c0325,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_bindback_08048.wem,AI Callback,17206,17206,99d4479158dcf5f84c4c9b1408a9a65d551aa3d859f7ebe7c69e16f8b7e89dab,2026-05-21T21:04:51+00:00,ce4a16fe2cb6529b3a84ee37a7019ea10e2b8ec4bada20b7aa21a944aed83796,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_blame_02029.wem,AI Blame,21896,21896,e4bb627b3cd5d3b03104bf544594e325a97b2b3e093d71fbbbc3dcd3ed69403a,2026-05-21T21:04:53+00:00,179032c6d72471db0da074c73b916049f7dfc5eedab5112ad949de304abaf230,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_blame_02030.wem,AI Blame,19254,19254,9c21e2b22bc06fb1a772ae20a00f7382555f8e1c6cf4cbbfd0d28d94b785b9e7,2026-05-21T21:04:55+00:00,7b6a223f2a89d30c5929aa15af1c89d407142e0b04518a9cd322ac54e9bd6d48,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_blame_02031.wem,AI Blame,17133,17133,0c2b60de225517741c188cfae57cb324c5dbb1a79fb3de6d9b627d1e87b607e9,2026-05-21T21:04:58+00:00,5a4884697078a08682e8426a961ee13716441b93fd02614247cae15427b9ab59,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_blame_02032.wem,AI Blame,11843,11843,d7e299686920916500b33b75abf1404b01957397ace09290066b0a343b712ef5,2026-05-21T21:05:00+00:00,a9fc37340991612295f5a46512efac65b517284a6216145880707caea1f0cb49,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_blame_02033.wem,AI Blame,16138,16138,d78b493e6301ed26f8bf133d337f8456d1726eebe4e285a9f4143cb4f7bed7d5,2026-05-21T21:05:02+00:00,cff94f0c126b9ded139f9040f9ce5ad7854a82209e4d118b8673185241c0e6c9,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_blame_03409.wem,AI Blame,15351,15351,2ca58afb443ac0f20c31b63d627afdaf12d0666a6ff635b2bf9ede48f73596f9,2026-05-21T21:05:04+00:00,42a3f6df1d1e57e56fe3726e80fe7e3e5b2ef39eae2e408231871bb1e4008f04,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_blame_03410.wem,AI Blame,16367,16367,f517eafb8e722b8a4ceb08037d5e8b678bf55876fbb658c5ff2cbe65171a63ba,2026-05-21T21:05:06+00:00,28fb39d53fdfb8b0678a54475c20c53997322eeb7cf91c99f04f53c160f8272c,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_blame_03411.wem,AI Blame,13854,13854,f7bfc983b036dbb4f324badd32b9bb96f9132a53cdf2c5dc3f2ceba4a1170ec0,2026-05-21T21:05:08+00:00,1164c1045eac51bd9c4390f307c4b9e1e3e8a4f7814be6107a391d58cbdf3cb3,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_blame_03412.wem,AI Blame,20092,20092,9e2f966c522b6f366025d53806f4ef1ede33dcd2cd2d86f44a94a6a75ff231c9,2026-05-21T21:05:10+00:00,1e64feb7fe7dbfaafb2070970fb666bf9bd913ac4bcee2fdf144962f8e55c06b,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_blame_03413.wem,AI Blame,22637,22637,82b3890854a1e2a769295f3cfad54229e8ef78af2aa3cf7791bcd073d00a54d3,2026-05-21T21:05:13+00:00,a1d8d7b0bf318ed0ad2f8ed60a9b2594a21606691a8095807bf9bd21f2ed17c3,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_blame_08031.wem,AI Blame,11417,11417,5d419284e640d33dbd1330d04f5e5e159b9b31d3c39f33a94dd27cb7c7da1d5d,2026-05-21T21:05:16+00:00,cfa1b787be1855c87d419ce9ac77de569ff68ca29e388fdb4a94dee65c26a30a,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_blame_08032.wem,AI Blame,21812,21812,8c9161aa8f518174e6f9813f46233b6856444ec864260bdcb832be18ea073cff,2026-05-21T21:05:19+00:00,de8d6a227b3f44b68996c1273007452bc3835a47cdaea782577d552f0b518e3d,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_blame_08033.wem,AI Blame,24460,24460,5a8e601827bd9478a1f299f7a5e23eea9a5bedbff8cd6e9336fca1afa53714e5,2026-05-21T21:05:22+00:00,90c16394ef45103c394b7be05072582eed784875ddf02d058370a5a164b16c11,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_blame_08034.wem,AI Blame,17013,17013,d87ddb003d644d205fc1c99eb8fe2daa41f7addea585bf2427916277dc4af3da,2026-05-21T21:05:25+00:00,a4a2ee0cb4570d4046766dc3cafcb8f3513835e95247244abf1167edf3e713c5,True
0006,sound/ndm_adult_1_aidialogstringinfogroup_blame_08035.wem,AI Blame,25991,25991,019e63f816469b81673e53a8eee968852f43943cd2b4378af047d8a46a09fa8d,2026-05-21T21:05:29+00:00,6cb5170b9e31101765071f37aab825912ac60392f97441c15a6ecf33620e6460,True
